airline,flightnumber,departureairport,arrivalairport,origindate,operationtime,departureorarrival,aircraftterminal,status,aircrafttype,hour,weekday,month,date
AF,1855,ALG,CDG,2024-12-04,2024-12-04 14:40:00+00:00,DEPARTURE,4,SCT,320,14,Wednesday,December,2024-12-04
AH,6292,ALG,DJG,2024-12-04,2024-12-04 22:30:00+00:00,DEPARTURE,1,SCT,738,22,Wednesday,December,2024-12-04
SF,1874,ALG,ORN,2024-12-04,2024-12-04 08:30:00+00:00,DEPARTURE,1,SCT,738,8,Wednesday,December,2024-12-04
SF,1858,ALG,TMR,2024-12-03,2024-12-03 19:00:00+00:00,DEPARTURE,1,GCL,738,19,Tuesday,December,2024-12-03
AH,3019,IST,ALG,2024-12-04,2024-12-04 06:45:00+00:00,ARRIVAL,4,SCT,332,6,Wednesday,December,2024-12-04
TO,7314,SXB,ALG,2024-12-04,2024-12-04 16:30:00+00:00,ARRIVAL,4,SCT,73H,16,Wednesday,December,2024-12-04
AH,4002,ALG,TUN,2024-12-04,2024-12-04 16:50:00+00:00,DEPARTURE,4,SCT,738,16,Wednesday,December,2024-12-04
SF,1803,HME,ALG,2024-12-04,2024-12-04 08:05:00+00:00,ARRIVAL,1,ONB,738,8,Wednesday,December,2024-12-04
AH,2005,ALC,ALG,2024-12-05,2024-12-05 15:00:00+00:00,ARRIVAL,4,SCT,736,15,Thursday,December,2024-12-05
AH,6026,ALG,CZL,2024-12-03,2024-12-03 19:00:00+00:00,DEPARTURE,1,SCT,738,19,Tuesday,December,2024-12-03
AH,6289,TMR,ALG,2024-12-04,2024-12-04 11:25:00+00:00,ARRIVAL,1,SCT,736,11,Wednesday,December,2024-12-04
LH,1318,FRA,ALG,2024-12-03,2024-12-03 23:55:00+00:00,ARRIVAL,4,SCT,320,23,Tuesday,December,2024-12-03
AH,2029,VIE,ALG,2024-12-04,2024-12-04 18:50:00+00:00,ARRIVAL,4,SCT,737,18,Wednesday,December,2024-12-04
SV,340,ALG,JED,2024-12-04,2024-12-04 15:30:00+00:00,DEPARTURE,1,SCT,773,15,Wednesday,December,2024-12-04
AH,2700,ALG,YUL,2024-12-04,2024-12-04 11:00:00+00:00,DEPARTURE,4,OFB,332,11,Wednesday,December,2024-12-04
TO,7260,ORY,ALG,2024-12-04,2024-12-04 09:40:00+00:00,ARRIVAL,4,SCT,738,9,Wednesday,December,2024-12-04
AF,1655,ALG,CDG,2024-12-03,2024-12-03 19:15:00+00:00,DEPARTURE,4,OFB,223,19,Tuesday,December,2024-12-03
AH,3001,SVO,ALG,2024-12-04,2024-12-04 07:44:00+00:00,ARRIVAL,4,ONB,738,7,Wednesday,December,2024-12-04
SF,1874,ALG,ORN,2024-12-04,2024-12-04 08:30:00+00:00,DEPARTURE,1,OFB,738,8,Wednesday,December,2024-12-04
5O,756,ALG,MRS,2024-12-04,2024-12-04 18:10:00+00:00,DEPARTURE,4,SCT,AT7,18,Wednesday,December,2024-12-04
AF,1355,ALG,CDG,2024-12-04,2024-12-04 06:05:00+00:00,DEPARTURE,4,SCT,320,6,Wednesday,December,2024-12-04
TK,655,IST,ALG,2024-12-03,2024-12-03 22:20:00+00:00,ARRIVAL,4,SCT,737,22,Tuesday,December,2024-12-03
AH,1231,CDG,ALG,2024-12-04,2024-12-04 10:03:00+00:00,ARRIVAL,4,ONB,738,10,Wednesday,December,2024-12-04
AH,6111,ORN,ALG,2024-12-05,2024-12-05 14:05:00+00:00,ARRIVAL,1,SCT,73H,14,Thursday,December,2024-12-05
AH,6157,TMX,ALG,2024-12-04,2024-12-04 12:45:00+00:00,ARRIVAL,1,SCT,AT7,12,Wednesday,December,2024-12-04
5O,755,MRS,ALG,2024-12-04,2024-12-04 10:45:00+00:00,ARRIVAL,F,SCT,AT7,10,Wednesday,December,2024-12-04
AZ,801,ALG,FCO,2024-12-05,2024-12-05 17:50:00+00:00,DEPARTURE,4,SCT,32N,17,Thursday,December,2024-12-05
AH,6006,ALG,AAE,2024-12-03,2024-12-03 19:40:00+00:00,DEPARTURE,1,SCT,AT7,19,Tuesday,December,2024-12-03
AH,1507,CDG,ALG,2024-12-03,2024-12-03 21:08:00+00:00,ARRIVAL,4,ONB,320,21,Tuesday,December,2024-12-03
SF,1803,HME,ALG,2024-12-04,2024-12-04 08:05:00+00:00,ARRIVAL,1,ONB,738,8,Wednesday,December,2024-12-04
AH,4000,ALG,TUN,2024-12-04,2024-12-04 07:10:00+00:00,DEPARTURE,4,SCT,737,7,Wednesday,December,2024-12-04
LH,1317,ALG,FRA,2024-12-04,2024-12-04 13:40:00+00:00,DEPARTURE,4,SCT,320,13,Wednesday,December,2024-12-04
AH,6292,ALG,DJG,2024-12-04,2024-12-04 22:30:00+00:00,DEPARTURE,1,SCT,737,22,Wednesday,December,2024-12-04
TO,7260,ORY,ALG,2024-12-04,2024-12-04 09:35:00+00:00,ARRIVAL,4,ONB,738,9,Wednesday,December,2024-12-04
AH,6195,CZL,ALG,2024-12-05,2024-12-05 22:30:00+00:00,ARRIVAL,1,SCT,AT7,22,Thursday,December,2024-12-05
SF,1979,BJA,ALG,2024-12-04,2024-12-04 13:10:00+00:00,ARRIVAL,1,SCT,DH4,13,Wednesday,December,2024-12-04
AH,3017,IST,ALG,2024-12-03,2024-12-03 18:11:00+00:00,ARRIVAL,4,ONB,738,18,Tuesday,December,2024-12-03
SF,1919,ALG,HME,2024-12-04,2024-12-04 09:15:00+00:00,DEPARTURE,1,SCT,738,9,Wednesday,December,2024-12-04
5O,756,ALG,MRS,2024-12-04,2024-12-04 18:10:00+00:00,DEPARTURE,0,SCT,AT7,18,Wednesday,December,2024-12-04
EK,0758,ALG,DXB,2024-12-04,2024-12-04 15:40:00+00:00,DEPARTURE,4,SCT,773,15,Wednesday,December,2024-12-04
AH,5010,ALG,DSS,2024-12-04,2024-12-04 20:10:00+00:00,DEPARTURE,4,SCT,738,20,Wednesday,December,2024-12-04
AH,6191,CZL,ALG,2024-12-04,2024-12-04 09:47:00+00:00,ARRIVAL,1,ONB,AT7,9,Wednesday,December,2024-12-04
AH,2015,BCN,ALG,2024-12-04,2024-12-04 20:25:00+00:00,ARRIVAL,4,SCT,738,20,Wednesday,December,2024-12-04
AZ,800,FCO,ALG,2024-12-04,2024-12-04 17:00:00+00:00,ARRIVAL,4,SCT,32N,17,Wednesday,December,2024-12-04
AH,6071,LOO,ALG,2024-12-04,2024-12-04 14:15:00+00:00,ARRIVAL,1,SCT,AT7,14,Wednesday,December,2024-12-04
TK,656,ALG,IST,2024-12-03,2024-12-03 23:55:00+00:00,DEPARTURE,4,SCT,737,23,Tuesday,December,2024-12-03
AZ,800,FCO,ALG,2024-12-04,2024-12-04 17:00:00+00:00,ARRIVAL,4,SCT,32N,17,Wednesday,December,2024-12-04
AH,6071,LOO,ALG,2024-12-04,2024-12-04 14:15:00+00:00,ARRIVAL,1,SCT,AT7,14,Wednesday,December,2024-12-04
AH,6216,ALG,OGX,2024-12-04,2024-12-04 15:40:00+00:00,DEPARTURE,1,SCT,AT7,15,Wednesday,December,2024-12-04
AH,4002,ALG,TUN,2024-12-04,2024-12-04 16:50:00+00:00,DEPARTURE,4,SCT,738,16,Wednesday,December,2024-12-04
LH,1317,ALG,FRA,2024-12-04,2024-12-04 13:40:00+00:00,DEPARTURE,4,SCT,321,13,Wednesday,December,2024-12-04
AH,6192,ALG,CZL,2024-12-03,2024-12-03 21:30:00+00:00,DEPARTURE,1,OFB,AT7,21,Tuesday,December,2024-12-03
AH,6238,GHA,ALG,2024-12-04,2024-12-04 04:40:00+00:00,ARRIVAL,1,DEL,738,4,Wednesday,December,2024-12-04
SF,1858,ALG,TMR,2024-12-03,2024-12-03 19:00:00+00:00,DEPARTURE,1,BST,738,19,Tuesday,December,2024-12-03
AH,1023,MRS,ALG,2024-12-04,2024-12-04 12:48:00+00:00,ARRIVAL,4,ONB,738,12,Wednesday,December,2024-12-04
SF,1874,ALG,ORN,2024-12-04,2024-12-04 08:30:00+00:00,DEPARTURE,1,GCL,738,8,Wednesday,December,2024-12-04
AH,1005,ORY,ALG,2024-12-03,2024-12-03 18:35:00+00:00,ARRIVAL,4,DEL,332,18,Tuesday,December,2024-12-03
TK,651,IST,ALG,2024-12-04,2024-12-04 10:45:00+00:00,ARRIVAL,4,SCT,32R,10,Wednesday,December,2024-12-04
AH,6039,BLJ,ALG,2024-12-03,2024-12-03 18:59:00+00:00,ARRIVAL,1,ONB,AT7,18,Tuesday,December,2024-12-03
AF,1355,ALG,CDG,2024-12-04,2024-12-04 06:05:00+00:00,DEPARTURE,4,SCT,320,6,Wednesday,December,2024-12-04
AH,6227A,HME,ALG,2024-12-04,2024-12-03 23:40:00+00:00,ARRIVAL,1,LAN,AT7,23,Tuesday,December,2024-12-03
AH,6297,AZR,ALG,2024-12-04,2024-12-04 17:40:00+00:00,ARRIVAL,1,SCT,AT7,17,Wednesday,December,2024-12-04
AH,6040,ALG,BSK,2024-12-05,2024-12-05 11:10:00+00:00,DEPARTURE,1,SCT,AT7,11,Thursday,December,2024-12-05
AH,2070,ALG,FRA,2024-12-04,2024-12-04 10:15:00+00:00,DEPARTURE,4,SCT,736,10,Wednesday,December,2024-12-04
AH,3015,IST,ALG,2024-12-04,2024-12-04 09:45:00+00:00,ARRIVAL,4,DEL,320,9,Wednesday,December,2024-12-04
AH,6225,HME,ALG,2024-12-04,2024-12-04 23:30:00+00:00,ARRIVAL,1,SCT,AT7,23,Wednesday,December,2024-12-04
AH,2071,FRA,ALG,2024-12-04,2024-12-04 17:20:00+00:00,ARRIVAL,4,SCT,736,17,Wednesday,December,2024-12-04
AH,1008,ALG,ORY,2024-12-03,2024-12-03 18:35:00+00:00,DEPARTURE,4,OFB,738,18,Tuesday,December,2024-12-03
BA,2817,ALG,LGW,2024-12-04,2024-12-04 13:55:00+00:00,DEPARTURE,4,SCT,320,13,Wednesday,December,2024-12-04
AH,3001,SVO,ALG,2024-12-04,2024-12-04 07:35:00+00:00,ARRIVAL,4,SCT,738,7,Wednesday,December,2024-12-04
AH,6043,BSK,ALG,2024-12-04,2024-12-04 19:10:00+00:00,ARRIVAL,1,SCT,736,19,Wednesday,December,2024-12-04
AH,6039,BLJ,ALG,2024-12-03,2024-12-03 19:05:00+00:00,ARRIVAL,1,SCT,AT7,19,Tuesday,December,2024-12-03
SF,1859,TMR,ALG,2024-12-04,2024-12-04 00:41:00+00:00,ARRIVAL,1,ONB,738,0,Wednesday,December,2024-12-04
AH,5641,COO,ALG,2024-12-03,2024-12-03 19:34:00+00:00,ARRIVAL,0,ONB,738,19,Tuesday,December,2024-12-03
VY,7990,ALG,MRS,2024-12-04,2024-12-04 11:20:00+00:00,DEPARTURE,4,SCT,320,11,Wednesday,December,2024-12-04
AH,6100,ALG,ORN,2024-12-04,2024-12-04 08:55:00+00:00,DEPARTURE,1,GCL,AT7,8,Wednesday,December,2024-12-04
AF,1554,CDG,ALG,2024-12-04,2024-12-04 10:17:00+00:00,ARRIVAL,4,ONB,320,10,Wednesday,December,2024-12-04
AH,6254,ALG,ELU,2024-12-04,2024-12-04 08:05:00+00:00,DEPARTURE,1,SCT,736,8,Wednesday,December,2024-12-04
AH,3001,SVO,ALG,2024-12-04,2024-12-04 07:44:00+00:00,ARRIVAL,4,ONB,738,7,Wednesday,December,2024-12-04
SF,2110,ALG,CZL,2024-12-04,2024-12-04 15:30:00+00:00,DEPARTURE,1,SCT,738,15,Wednesday,December,2024-12-04
AH,6038,ALG,BLJ,2024-12-04,2024-12-04 09:00:00+00:00,DEPARTURE,1,BST,738,9,Wednesday,December,2024-12-04
AH,2027,MXP,ALG,2024-12-04,2024-12-04 15:10:00+00:00,ARRIVAL,4,SCT,738,15,Wednesday,December,2024-12-04
V7,2439,ALG,BOD,2024-12-04,2024-12-04 10:10:00+00:00,DEPARTURE,4,SCT,320,10,Wednesday,December,2024-12-04
LH,1317,ALG,FRA,2024-12-04,2024-12-04 13:40:00+00:00,DEPARTURE,4,SCT,321,13,Wednesday,December,2024-12-04
MS,846,ALG,CAI,2024-12-04,2024-12-04 13:45:00+00:00,DEPARTURE,4,SCT,321,13,Wednesday,December,2024-12-04
TK,655,IST,ALG,2024-12-03,2024-12-03 22:15:00+00:00,ARRIVAL,4,SCT,737,22,Tuesday,December,2024-12-03
AH,1008,ALG,ORY,2024-12-03,2024-12-03 18:35:00+00:00,DEPARTURE,4,OFB,738,18,Tuesday,December,2024-12-03
AH,2070,ALG,FRA,2024-12-04,2024-12-04 10:15:00+00:00,DEPARTURE,4,SCT,736,10,Wednesday,December,2024-12-04
AH,6107,ORN,ALG,2024-12-04,2024-12-04 06:55:00+00:00,ARRIVAL,1,SCT,738,6,Wednesday,December,2024-12-04
SF,1122,ALG,HME,2024-12-04,2024-12-04 11:45:00+00:00,DEPARTURE,1,BST,738,11,Wednesday,December,2024-12-04
AH,6181,ORN,ALG,2024-12-04,2024-12-04 10:20:00+00:00,ARRIVAL,1,SCT,AT7,10,Wednesday,December,2024-12-04
SF,1922,ALG,BLJ,2024-12-04,2024-12-04 16:30:00+00:00,DEPARTURE,1,SCT,738,16,Wednesday,December,2024-12-04
AH,1004,ALG,ORY,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,SCT,330,12,Wednesday,December,2024-12-04
AH,5011,DSS,ALG,2024-12-04,2024-12-04 06:25:00+00:00,ARRIVAL,4,SCT,738,6,Wednesday,December,2024-12-04
AH,4064,ALG,AMM,2024-12-04,2024-12-04 15:25:00+00:00,DEPARTURE,4,SCT,738,15,Wednesday,December,2024-12-04
AH,1002,ALG,CDG,2024-12-04,2024-12-04 07:15:00+00:00,DEPARTURE,4,BST,738,7,Wednesday,December,2024-12-04
AF,1355,ALG,CDG,2024-12-04,2024-12-04 06:05:00+00:00,DEPARTURE,4,SCT,320,6,Wednesday,December,2024-12-04
AH,6255,ELU,ALG,2024-12-04,2024-12-04 16:35:00+00:00,ARRIVAL,1,SCT,736,16,Wednesday,December,2024-12-04
AH,1008,ALG,ORY,2024-12-04,2024-12-04 18:35:00+00:00,DEPARTURE,4,SCT,738,18,Wednesday,December,2024-12-04
AH,1215,CDG,ALG,2024-12-04,2024-12-04 19:15:00+00:00,ARRIVAL,4,SCT,736,19,Wednesday,December,2024-12-04
AH,5318,ALG,ABJ,2024-12-04,2024-12-04 20:00:00+00:00,DEPARTURE,4,SCT,738,20,Wednesday,December,2024-12-04
TO,7260,ORY,ALG,2024-12-04,2024-12-04 09:35:00+00:00,ARRIVAL,4,ONB,738,9,Wednesday,December,2024-12-04
AH,485,JED,ALG,2024-12-04,2024-12-04 06:05:00+00:00,ARRIVAL,4,SCT,330,6,Wednesday,December,2024-12-04
AH,1024,ALG,MRS,2024-12-03,2024-12-03 17:45:00+00:00,DEPARTURE,4,OFB,738,17,Tuesday,December,2024-12-03
AH,1009,ORY,ALG,2024-12-04,2024-12-04 09:46:00+00:00,ARRIVAL,4,ONB,738,9,Wednesday,December,2024-12-04
AH,4002,ALG,TUN,2024-12-04,2024-12-04 16:50:00+00:00,DEPARTURE,4,SCT,738,16,Wednesday,December,2024-12-04
AH,1004,ALG,ORY,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,OFB,330,12,Wednesday,December,2024-12-04
AH,4000,ALG,TUN,2024-12-04,2024-12-04 07:10:00+00:00,DEPARTURE,4,SCT,737,7,Wednesday,December,2024-12-04
SF,1123,HME,ALG,2024-12-04,2024-12-04 14:40:00+00:00,ARRIVAL,1,SCT,738,14,Wednesday,December,2024-12-04
AH,6150,CBH,ALG,2024-12-04,2024-12-04 01:52:00+00:00,ARRIVAL,1,ONB,736,1,Wednesday,December,2024-12-04
AH,6106,ALG,ORN,2024-12-04,2024-12-04 22:30:00+00:00,DEPARTURE,1,SCT,738,22,Wednesday,December,2024-12-04
AZ,801,ALG,FCO,2024-12-05,2024-12-05 17:50:00+00:00,DEPARTURE,4,SCT,32N,17,Thursday,December,2024-12-05
AH,1010,ALG,ORY,2024-12-04,2024-12-04 09:10:00+00:00,DEPARTURE,4,SCT,738,9,Wednesday,December,2024-12-04
AH,6254,ALG,ELU,2024-12-04,2024-12-04 09:10:00+00:00,DEPARTURE,1,OFB,736,9,Wednesday,December,2024-12-04
TK,652,ALG,IST,2024-12-04,2024-12-04 11:40:00+00:00,DEPARTURE,4,SCT,738,11,Wednesday,December,2024-12-04
AH,3016,ALG,IST,2024-12-04,2024-12-04 09:40:00+00:00,DEPARTURE,4,SCT,738,9,Wednesday,December,2024-12-04
AH,6051,BJA,ALG,2024-12-04,2024-12-04 15:35:00+00:00,ARRIVAL,1,SCT,738,15,Wednesday,December,2024-12-04
AH,6234,ALG,TMR,2024-12-04,2024-12-04 22:00:00+00:00,DEPARTURE,1,SCT,738,22,Wednesday,December,2024-12-04
AH,6176,ALG,AAE,2024-12-03,2024-12-03 18:00:00+00:00,DEPARTURE,1,GCL,AT7,18,Tuesday,December,2024-12-03
XY,662,ALG,MED,2024-12-04,2024-12-04 17:35:00+00:00,DEPARTURE,1,SCT,333,17,Wednesday,December,2024-12-04
AH,6182,ALG,ORN,2024-12-04,2024-12-04 12:30:00+00:00,DEPARTURE,1,GCL,AT7,12,Wednesday,December,2024-12-04
AH,2028,ALG,VIE,2024-12-04,2024-12-04 12:30:00+00:00,DEPARTURE,4,SCT,737,12,Wednesday,December,2024-12-04
AH,6238,GHA,ALG,2024-12-04,2024-12-04 04:15:00+00:00,ARRIVAL,1,ONB,738,4,Wednesday,December,2024-12-04
SF,2382,ALG,CBH,2024-12-04,2024-12-04 19:00:00+00:00,DEPARTURE,1,SCT,DH4,19,Wednesday,December,2024-12-04
AH,2027,MXP,ALG,2024-12-04,2024-12-04 15:15:00+00:00,ARRIVAL,4,SCT,738,15,Wednesday,December,2024-12-04
TO,7301,ALG,NTE,2024-12-03,2024-12-03 19:35:00+00:00,DEPARTURE,4,SCT,737,19,Tuesday,December,2024-12-03
MS,845,CAI,ALG,2024-12-04,2024-12-04 13:17:00+00:00,ARRIVAL,4,LAN,737,13,Wednesday,December,2024-12-04
AH,6050,ALG,BJA,2024-12-03,2024-12-03 19:00:00+00:00,DEPARTURE,1,OFB,738,19,Tuesday,December,2024-12-03
AH,3017,IST,ALG,2024-12-03,2024-12-03 18:11:00+00:00,ARRIVAL,4,ONB,738,18,Tuesday,December,2024-12-03
AH,6292,ALG,DJG,2024-12-03,2024-12-03 23:20:00+00:00,DEPARTURE,1,SCT,736,23,Tuesday,December,2024-12-03
XY,661,JED,ALG,2024-12-04,2024-12-04 16:00:00+00:00,ARRIVAL,1,SCT,330,16,Wednesday,December,2024-12-04
AH,1008,ALG,ORY,2024-12-03,2024-12-03 18:35:00+00:00,DEPARTURE,4,OFB,738,18,Tuesday,December,2024-12-03
AH,1020,ALG,MRS,2024-12-04,2024-12-04 13:20:00+00:00,DEPARTURE,4,SCT,738,13,Wednesday,December,2024-12-04
AH,6041,BSK,ALG,2024-12-03,2024-12-03 18:05:00+00:00,ARRIVAL,1,SCT,738,18,Tuesday,December,2024-12-03
AH,1010,ALG,ORY,2024-12-04,2024-12-04 09:10:00+00:00,DEPARTURE,4,SCT,738,9,Wednesday,December,2024-12-04
TU,375,ALG,TUN,2024-12-04,2024-12-04 14:40:00+00:00,DEPARTURE,4,SCT,320,14,Wednesday,December,2024-12-04
AH,6059,GJL,ALG,2024-12-04,2024-12-04 16:30:00+00:00,ARRIVAL,1,SCT,AT7,16,Wednesday,December,2024-12-04
AH,5323,OUA,ALG,2024-12-05,2024-12-05 05:55:00+00:00,ARRIVAL,4,SCT,736,5,Thursday,December,2024-12-05
AH,6050,ALG,BJA,2024-12-05,2024-12-05 08:30:00+00:00,DEPARTURE,1,SCT,73H,8,Thursday,December,2024-12-05
TO,7315,ALG,SXB,2024-12-04,2024-12-04 10:40:00+00:00,DEPARTURE,4,SCT,738,10,Wednesday,December,2024-12-04
AH,6226,ALG,HME,2024-12-05,2024-12-05 20:10:00+00:00,DEPARTURE,1,SCT,AT7,20,Thursday,December,2024-12-05
AH,4064,ALG,AMM,2024-12-04,2024-12-04 15:25:00+00:00,DEPARTURE,4,SCT,738,15,Wednesday,December,2024-12-04
AH,6150,CBH,ALG,2024-12-04,2024-12-04 02:40:00+00:00,ARRIVAL,1,SCT,736,2,Wednesday,December,2024-12-04
AF,1354,CDG,ALG,2024-12-03,2024-12-03 23:25:00+00:00,ARRIVAL,4,SCT,321,23,Tuesday,December,2024-12-03
AH,6032,ALG,TEE,2024-12-04,2024-12-04 15:25:00+00:00,DEPARTURE,1,SCT,AT7,15,Wednesday,December,2024-12-04
AH,1011,ORY,ALG,2024-12-04,2024-12-04 15:10:00+00:00,ARRIVAL,4,SCT,738,15,Wednesday,December,2024-12-04
VY,7991,MRS,ALG,2024-12-04,2024-12-04 10:14:00+00:00,ARRIVAL,4,ONB,320,10,Wednesday,December,2024-12-04
AH,6226,ALG,HME,2024-12-03,2024-12-03 19:55:00+00:00,DEPARTURE,1,SCT,AT7,19,Tuesday,December,2024-12-03
AH,6117,TLM,ALG,2024-12-04,2024-12-04 15:30:00+00:00,ARRIVAL,1,SCT,738,15,Wednesday,December,2024-12-04
LH,1317,ALG,FRA,2024-12-04,2024-12-04 14:00:00+00:00,DEPARTURE,4,OFB,320,14,Wednesday,December,2024-12-04
TU,375,ALG,TUN,2024-12-04,2024-12-04 14:40:00+00:00,DEPARTURE,4,SCT,32L,14,Wednesday,December,2024-12-04
AF,1354,CDG,ALG,2024-12-04,2024-12-04 23:25:00+00:00,ARRIVAL,4,SCT,32A,23,Wednesday,December,2024-12-04
AH,6059,GJL,ALG,2024-12-03,2024-12-03 18:43:00+00:00,ARRIVAL,1,LAN,AT7,18,Tuesday,December,2024-12-03
AH,3016,ALG,IST,2024-12-05,2024-12-05 09:40:00+00:00,DEPARTURE,4,SCT,73H,9,Thursday,December,2024-12-05
SF,2116,ALG,CZL,2024-12-05,2024-12-05 18:00:00+00:00,DEPARTURE,1,SCT,738,18,Thursday,December,2024-12-05
AH,1009,ORY,ALG,2024-12-04,2024-12-04 09:50:00+00:00,ARRIVAL,4,SCT,738,9,Wednesday,December,2024-12-04
AH,484,ALG,JED,2024-12-03,2024-12-03 18:00:00+00:00,DEPARTURE,1,OFB,330,18,Tuesday,December,2024-12-03
AH,2063,BRU,ALG,2024-12-04,2024-12-04 16:35:00+00:00,ARRIVAL,4,SCT,738,16,Wednesday,December,2024-12-04
AH,6117,TLM,ALG,2024-12-04,2024-12-04 15:30:00+00:00,ARRIVAL,1,SCT,738,15,Wednesday,December,2024-12-04
TK,651,IST,ALG,2024-12-04,2024-12-04 10:25:00+00:00,ARRIVAL,4,SCT,738,10,Wednesday,December,2024-12-04
TO,7315,ALG,SXB,2024-12-04,2024-12-04 10:40:00+00:00,DEPARTURE,4,SCT,738,10,Wednesday,December,2024-12-04
AH,6006,ALG,AAE,2024-12-03,2024-12-03 19:40:00+00:00,DEPARTURE,1,BST,AT7,19,Tuesday,December,2024-12-03
AF,1655,ALG,CDG,2024-12-03,2024-12-03 19:15:00+00:00,DEPARTURE,4,GCL,223,19,Tuesday,December,2024-12-03
AH,2062,ALG,BRU,2024-12-04,2024-12-04 10:05:00+00:00,DEPARTURE,4,SCT,738,10,Wednesday,December,2024-12-04
AH,6160,ALG,TMX,2024-12-03,2024-12-03 23:10:00+00:00,DEPARTURE,1,SCT,736,23,Tuesday,December,2024-12-03
TK,651,IST,ALG,2024-12-04,2024-12-04 10:34:00+00:00,ARRIVAL,4,ONB,738,10,Wednesday,December,2024-12-04
AH,1023,MRS,ALG,2024-12-04,2024-12-04 12:10:00+00:00,ARRIVAL,4,SCT,738,12,Wednesday,December,2024-12-04
MS,846,ALG,CAI,2024-12-04,2024-12-04 13:45:00+00:00,DEPARTURE,4,SCT,737,13,Wednesday,December,2024-12-04
TK,651,IST,ALG,2024-12-04,2024-12-04 10:34:00+00:00,ARRIVAL,4,LAN,738,10,Wednesday,December,2024-12-04
AH,4062,ALG,DXB,2024-12-03,2024-12-03 22:05:00+00:00,DEPARTURE,4,BST,332,22,Tuesday,December,2024-12-03
AH,1000,ALG,CDG,2024-12-04,2024-12-04 10:30:00+00:00,DEPARTURE,4,SCT,736,10,Wednesday,December,2024-12-04
AH,4001,TUN,ALG,2024-12-04,2024-12-04 10:31:00+00:00,ARRIVAL,4,ONB,737,10,Wednesday,December,2024-12-04
TK,652,ALG,IST,2024-12-04,2024-12-04 11:55:00+00:00,DEPARTURE,4,DEL,738,11,Wednesday,December,2024-12-04
AH,1004,ALG,ORY,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,GCL,330,12,Wednesday,December,2024-12-04
AH,6026,ALG,CZL,2024-12-04,2024-12-04 19:30:00+00:00,DEPARTURE,1,SCT,738,19,Wednesday,December,2024-12-04
IB,929,MAD,ALG,2024-12-04,2024-12-04 18:05:00+00:00,ARRIVAL,4,SCT,320,18,Wednesday,December,2024-12-04
AH,6292,TMR,ALG,2024-12-04,2024-12-04 05:20:00+00:00,ARRIVAL,1,SCT,736,5,Wednesday,December,2024-12-04
AH,6254,ALG,ELU,2024-12-04,2024-12-04 08:05:00+00:00,DEPARTURE,1,SCT,736,8,Wednesday,December,2024-12-04
AH,1000,ALG,CDG,2024-12-04,2024-12-04 10:35:00+00:00,DEPARTURE,4,GCL,736,10,Wednesday,December,2024-12-04
AH,6254,ALG,ELU,2024-12-04,2024-12-04 09:10:00+00:00,DEPARTURE,1,OFB,736,9,Wednesday,December,2024-12-04
AH,6070,ALG,LOO,2024-12-04,2024-12-04 11:10:00+00:00,DEPARTURE,1,SCT,AT7,11,Wednesday,December,2024-12-04
TK,654,ALG,IST,2024-12-04,2024-12-04 17:35:00+00:00,DEPARTURE,4,SCT,738,17,Wednesday,December,2024-12-04
AF,1854,CDG,ALG,2024-12-04,2024-12-04 13:20:00+00:00,ARRIVAL,4,SCT,320,13,Wednesday,December,2024-12-04
AH,4000,ALG,TUN,2024-12-04,2024-12-04 07:10:00+00:00,DEPARTURE,4,SCT,737,7,Wednesday,December,2024-12-04
AH,6176,ALG,AAE,2024-12-04,2024-12-04 11:30:00+00:00,DEPARTURE,1,SCT,AT7,11,Wednesday,December,2024-12-04
AH,6150,CBH,ALG,2024-12-04,2024-12-04 01:52:00+00:00,ARRIVAL,1,ONB,736,1,Wednesday,December,2024-12-04
AH,6150,CBH,ALG,2024-12-04,2024-12-04 01:52:00+00:00,ARRIVAL,1,ONB,736,1,Wednesday,December,2024-12-04
AH,6292,TMR,ALG,2024-12-04,2024-12-04 06:55:00+00:00,ARRIVAL,1,SCT,736,6,Wednesday,December,2024-12-04
AH,6195,CZL,ALG,2024-12-04,2024-12-04 21:25:00+00:00,ARRIVAL,1,SCT,AT7,21,Wednesday,December,2024-12-04
TO,7261,ALG,ORY,2024-12-04,2024-12-04 17:30:00+00:00,DEPARTURE,4,SCT,73H,17,Wednesday,December,2024-12-04
AH,1023,MRS,ALG,2024-12-04,2024-12-04 12:10:00+00:00,ARRIVAL,4,SCT,738,12,Wednesday,December,2024-12-04
AH,1021,MRS,ALG,2024-12-03,2024-12-03 17:18:00+00:00,ARRIVAL,4,ONB,738,17,Tuesday,December,2024-12-03
AH,6176,ALG,AAE,2024-12-04,2024-12-04 11:30:00+00:00,DEPARTURE,1,SCT,AT7,11,Wednesday,December,2024-12-04
SF,1908,ALG,HME,2024-12-04,2024-12-04 18:30:00+00:00,DEPARTURE,1,SCT,738,18,Wednesday,December,2024-12-04
AH,1002,ALG,CDG,2024-12-04,2024-12-04 07:15:00+00:00,DEPARTURE,4,OFB,738,7,Wednesday,December,2024-12-04
AH,5349,DLA,ALG,2024-12-04,2024-12-04 06:43:00+00:00,ARRIVAL,4,ONB,738,6,Wednesday,December,2024-12-04
